Username;Game;In-game-time;Date
Baudox;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 08s 300ms (in-game time) (196th place);17m 08s 300ms ();2021-05-14
Baudox;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 35s 250ms (in-game time) (- place);17m 35s 250ms ();2021-05-06
Baudox;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 44s 950ms (in-game time) (- place);21m 44s 950ms ();2021-04-27
Baudox;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 47s 200ms (in-game time) (- place);23m 47s 200ms ();2021-04-17
Baudox;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 25s 200ms (in-game time) (- place);24m 25s 200ms ();2021-04-17
Baudox;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 30m 35s 700ms (in-game time) (- place);30m 35s 700ms ();2021-04-13
Bayermaster;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 53s 132ms (in-game time) (355th place);18m 53s 132ms ();2021-06-08
Bayermaster;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 18s 600ms (in-game time) (- place);23m 18s 600ms ();2021-04-29
Bayermaster;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 18s 180ms (in-game time) (- place);25m 18s 180ms ();2021-03-03
Bayermaster;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 46s 190ms (in-game time) (- place);27m 46s 190ms ();2021-01-07
Bellex;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 19m 13s 683ms (in-game time) (393rd place);19m 13s 683ms ();2021-02-05
Bellex;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 22m 29s 383ms (in-game time) (- place);22m 29s 383ms ();2020-10-29
Bellex;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 27m 15s 058ms (in-game time) (- place);27m 15s 058ms ();2020-08-25
Bellex;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Optifine)						 34m 16s 500ms (in-game time) (- place);34m 16s 500ms ();2020-08-04
Bertschoo;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 16m 51s (in-game time) (174th place);16m 51s ();2021-04-28
Bionerd314;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 32s 350ms (in-game time) (423rd place);19m 32s 350ms ();2021-04-09
blackmagic556;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 13m 27s 367ms (in-game time) (17th place);13m 27s 367ms ();2021-05-17
blackmagic556;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 13m 48s 833ms (in-game time) (- place);13m 48s 833ms ();2021-05-12
blackmagic556;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 37s (in-game time) (- place);17m 37s ();2021-04-13
blackmagic556;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 19m 07s 300ms (in-game time) (- place);19m 07s 300ms ();2021-01-27
blackmagic556;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 20m 26s 500ms (in-game time) (- place);20m 26s 500ms ();2020-11-04
blackmagic556;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 27m 40s (in-game time) (- place);27m 40s ();2020-10-11
blackmagic556;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 41m 04s (in-game time) (- place);41m 04s ();2020-09-07
Blazeboar;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 18m 57s 600ms (in-game time) (364th place);18m 57s 600ms ();2021-01-29
Blazing_Shade;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 01s 450ms (in-game time) (282nd place);18m 01s 450ms ();2021-05-26
Blazing_Shade;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 59s 600ms (in-game time) (- place);20m 59s 600ms ();2021-04-11
Blazing_Shade;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 29m 47s (in-game time) (- place);29m 47s ();2020-08-25
Blenor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 46s 750ms (in-game time) (446th place);19m 46s 750ms ();2021-06-03
Blenor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 46s 300ms (in-game time) (- place);26m 46s 300ms ();2021-05-09
blobserr;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, No F3, CaffeineMC)						 19m 28s 850ms (in-game time) (414th place);19m 28s 850ms ();2021-05-23
blobserr;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, No F3, CaffeineMC)						 20m 04s 300ms (in-game time) (- place);20m 04s 300ms ();2021-04-05
Blyde_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 40s 100ms (in-game time) (247th place);17m 40s 100ms ();2021-03-24
Blyde_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 22m 31s 800ms (in-game time) (- place);22m 31s 800ms ();2021-02-09
Blyde_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 29m 29s 030ms (in-game time) (- place);29m 29s 030ms ();2020-10-07
boltdan;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 37s (in-game time) (158th place);16m 37s ();2021-05-24
boltdan;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 47s 050ms (in-game time) (- place);19m 47s 050ms ();2021-01-02
boltdan;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 26m 05s 010ms (in-game time) (- place);26m 05s 010ms ();2020-12-13
boltdan;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 28m 26s (in-game time) (- place);28m 26s ();2020-12-11
boltdan;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 32m 44s 036ms (in-game time) (- place);32m 44s 036ms ();2020-12-07
BooleanC5;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 04s 600ms (in-game time) (124th place);16m 04s 600ms ();2021-04-03
