Players,Real time,In-game time,Sub Version,Difficulty,F3,Mods,Date,Player
EarthinEarthin,19m 21s 733ms,17m 46s 500ms,1.16,1.16.1,Easy,No F3,2021-04-08,Earthin
_Lefi_Lefi,17m 57s 810ms,17m 54s 800ms,1.16,1.16.1,Normal,F3,2021-03-21,_Lefi
sw2gsw2g,18m 00s 433ms,17m 55s 350ms,1.16,1.16.1,Easy,F3,2021-05-02,sw2g
ACHM3DACHM3D,17m 56s 010ms,17m 55s 700ms,1.0,1.16.1,Easy,No F3,2021-03-12,ACHM3D
LexanLexan,17m 58s 076ms,17m 57s 035ms,1.16,1.16.1,Easy,F3,2021-05-02,Lexan
IvanLeGuyIvanLeGuy,18m 37s 280ms,17m 57s 250ms,1.16,1.16.1,Easy,F3,2021-04-29,IvanLeGuy
L3w15L3w15,17m 58s 048ms,17m 57s 600ms,1.16,1.16.1,Easy,F3,2021-03-17,L3w15
rookerirookeri,18m 25s,18m 03s,1.16,1.16.1,Easy,F3,2021-05-19,rookeri
ClickyMaxClickyMax,18m 25s 860ms,18m 05s 250ms,1.16,1.16.1,Easy,F3,2021-05-21,ClickyMax
excambawexcambaw,18m 10s 433ms,18m 06s 250ms,1.16,1.16.1,Easy,F3,2021-04-08,excambaw
_LISA__LISA_,18m 10s,18m 10s,1.16,1.16.1,Easy,F3,2021-06-04,_LISA_
AdvaitAdvait,18m 39s 004ms,18m 18s 065ms,1.16,1.16.1,Easy,F3,2021-05-03,Advait
HashtenHashten,18m 24s 580ms,18m 18s 433ms,1.16,1.16.1,Easy,F3,2021-03-06,Hashten
SmalltankfoxSmalltankfox,18m 24s 020ms,18m 18s 700ms,1.16,1.16.1,Normal,F3,2021-04-17,Smalltankfox
RitroRitro,18m 24s 750ms,18m 24s 290ms,1.16,1.16.1,Easy,F3,2021-04-19,Ritro
BasketMaster21BasketMaster21,18m 28s 560ms,18m 27s 900ms,1.16,1.16.1,Easy,F3,2021-04-11,BasketMaster21
MoerinoMoerino,18m 43s 060ms,18m 34s 700ms,1.16,1.16.1,Normal,F3,2021-03-14,Moerino
CreppcrafterCreppcrafter,18m 41s 099ms,18m 34s 834ms,1.16,1.16.1,Easy,F3,2021-02-22,Creppcrafter
fionnuar_fionnuar_,18m 41s 690ms,18m 39s 700ms,1.16,1.16.1,Easy,F3,2021-03-28,fionnuar_
hadas_2115hadas_2115,18m 50s,18m 45s,1.16,1.16.1,Normal,F3,2021-05-19,hadas_2115
XtraCheezBurgerXtraCheezBurger,18m 49s 008ms,18m 45s 015ms,1.16,1.16.1,Normal,F3,2021-05-09,XtraCheezBurger
SpIashSpIash,18m 48s 810ms,18m 46s 500ms,1.16,1.16.1,Easy,F3,2021-03-30,SpIash
RRed_RRed_,19m 17s 026ms,18m 48s 040ms,1.16,1.16.1,Normal,F3,2021-05-13,RRed_
leonarilleonaril,18m 59s 110ms,18m 49s,1.16,1.16.1,Easy,F3,2021-03-31,leonaril
